GFFermiconstant,LamIn,LamSIN,LamhS,MS,Mh,O_chnl:~Ss ~Ss -> Wp Wm,O_chnl:~Ss ~Ss -> Z Z,O_chnl:~Ss ~Ss -> d3 D3,O_chnl:~Ss ~Ss -> e3 E3,O_chnl:~Ss ~Ss -> g g,O_chnl:~Ss ~Ss -> u2 U2,Omega_h2,Zbosonpolemass,alphasMZSMMSbar,h0 ->  BBAR B,h0 ->  CBAR C,h0 ->  DBAR D,h0 ->  E+ E-,h0 ->  GLUE GLUE,h0 ->  MU+ MU-,h0 ->  PHOT PHOT,h0 ->  SBAR S,h0 ->  TAU+ TAU-,h0 ->  UBAR U,h0 ->  W- W+,h0 ->  Z0 Z0,h0 ->  ss ss,mbmbSMMSbar,mtaupole,mtoppole,muS2,neutron_SD,neutron_SI,proton_SD,proton_SI,O_chnl:~Ss ~Ss -> h h
1.16637e-05,0.26,0.0,0.000476393801,40.0,125.548349,0.034375,0.0,0.78864,0.078524,0.051527,0.040003,1800.0,91.1887,0.1187,0.565329736,0.0266667797,5.86778569e-07,5.09054365e-09,0.0871701873,0.000227404891,0.0026803402,0.000211059044,0.0656413422,1.12264978e-07,0.226402119,0.0248192218,0.000851105035,4.18,1.77669,173.5,1571.11883,0.0,3.383e-12,0.0,3.299e-12,0.0
1.16637e-05,0.26,0.0,0.000556881399,40.0000001,125.548349,0.030733,0.0,0.792332,0.078895,0.051372,0.040193,1450.0,91.1887,0.1187,0.565153473,0.0266584653,5.86595618e-07,5.08895648e-09,0.0871430086,0.000227333989,0.0026795045,0.000210993238,0.065620876,1.12229975e-07,0.22633153,0.0248114834,0.00116262846,4.18,1.77669,173.5,1566.23931,0.0,4.623e-12,0.0,4.508e-12,0.0
1.16637e-05,0.26,0.0,0.000650967523,39.9999999,125.548349,0.0,0.0,0.822505,0.081963,0.047075,0.041759,1160.0,91.1887,0.1187,0.564912796,0.0266471125,5.86345809e-07,5.08678928e-09,0.0871058977,0.000227237176,0.0026783634,0.000210903384,0.0655929305,1.1218218e-07,0.226235144,0.0248009172,0.00158799519,4.18,1.77669,173.5,1560.53537,0.0,6.317e-12,0.0,6.16e-12,0.0
1.16637e-05,0.26,0.0,0.000760949669,39.9999999,125.548349,0.0,0.0,0.82345,0.082057,0.047111,0.041807,925.0,91.1887,0.1187,0.564584254,0.0266316151,5.86004803e-07,5.08383091e-09,0.0870552387,0.00022710502,0.00267680572,0.000210780727,0.065554783,1.12116938e-07,0.22610357,0.0247864935,0.00216865143,4.18,1.77669,173.5,1553.86775,0.0,8.631e-12,0.0,8.417e-12,0.0
1.16637e-05,0.26,0.0,0.000889513497,40.0,125.548349,0.0,0.0,0.824167,0.082129,0.047116,0.041844,732.0,91.1887,0.1187,0.564135936,0.0266104678,5.85539475e-07,5.079794e-09,0.0869861109,0.000226924683,0.00267468016,0.000210613353,0.0655027281,1.12027909e-07,0.225924028,0.0247668113,0.00296099706,4.18,1.77669,173.5,1546.07363,0.0,1.179e-11,0.0,1.15e-11,0.0
1.16637e-05,0.26,0.0,0.00103979842,40.0,125.548349,0.0,0.0,0.824659,0.082178,0.047144,0.041869,575.0,91.1887,0.1187,0.563524482,0.0265816253,5.84904823e-07,5.07428813e-09,0.0868918288,0.000226678725,0.00267178113,0.000210385074,0.0654317312,1.11906485e-07,0.225679155,0.0247399672,0.00404166414,4.18,1.77669,173.5,1536.96267,0.0,1.612e-11,0.0,1.572e-11,0.0
1.16637e-05,0.26,0.0,0.00121547425,40.0,125.548349,0.0,0.0,0.825091,0.082223,0.047101,0.041891,443.0,91.1887,0.1187,0.562691102,0.0265423145,5.84039824e-07,5.06678392e-09,0.086763327,0.000226343496,0.00266782991,0.000210073942,0.0653349661,1.1174099e-07,0.225345404,0.0247033799,0.00551455788,4.18,1.77669,173.5,1526.3124,0.0,2.202e-11,0.0,2.147e-11,0.0
1.16637e-05,0.26,0.0,0.00142083083,40.0,125.548349,0.0,0.0,0.825371,0.082251,0.047098,0.041906,346.0,91.1887,0.1187,0.561556309,0.026488786,5.82861976e-07,5.05656561e-09,0.0865883492,0.000225887023,0.00266244963,0.00020965028,0.0652032035,1.11515639e-07,0.224890945,0.02465356,0.00752016175,4.18,1.77669,173.5,1513.86274,0.0,3.009e-11,0.0,2.934e-11,0.0
1.16637e-05,0.26,0.0,0.00166088278,40.0,125.548349,0.0,0.0,0.82558,0.082272,0.047092,0.041917,268.0,91.1887,0.1187,0.560013052,0.0264159901,5.81260168e-07,5.04266927e-09,0.086350389,0.000225266246,0.00265513275,0.000209074124,0.0650240135,1.11209174e-07,0.224272904,0.0245858076,0.0102476726,4.18,1.77669,173.5,1499.3097,0.0,4.112e-11,0.0,4.01e-11,0.0
1.16637e-05,0.26,0.0,0.00194149195,40.0,125.548349,0.0,0.0,0.8257,0.082284,0.047099,0.041923,207.0,91.1887,0.1187,0.557917935,0.0263171627,5.79085561e-07,5.02380366e-09,0.0860273355,0.000224423481,0.00264519938,0.000208291937,0.0647807461,1.10793119e-07,0.223433856,0.0244938274,0.0139505277,4.18,1.77669,173.5,1482.29789,0.0,5.619e-11,0.0,5.479e-11,0.0
1.16637e-05,0.26,0.0,0.00226951054,40.0,125.548349,0.0,0.0,0.825925,0.08231,0.04692,0.041936,158.0,91.1887,0.1187,0.555080282,0.0261833098,5.76140247e-07,4.99825186e-09,0.0855897878,0.00022328203,0.00263174551,0.000207232534,0.0644512617,1.10229609e-07,0.222297439,0.0243692482,0.01896572,4.18,1.77669,173.5,1462.4119,0.0,7.678e-11,0.0,7.487e-11,0.0
1.16637e-05,0.26,0.0,0.00265294846,39.9999999,125.548349,0.0,0.0,0.82594,0.082312,0.046905,0.041937,121.0,91.1887,0.1187,0.551249125,0.0260025929,5.72163734e-07,4.96375399e-09,0.0849990481,0.00022174094,0.00261358123,0.000205802218,0.0640064198,1.09468805e-07,0.220763144,0.0242010519,0.025736807,4.18,1.77669,173.5,1439.16614,0.0,1.049e-10,0.0,1.023e-10,0.0
1.16637e-05,0.26,0.0,0.00310116893,40.0,125.548349,0.0,0.0,0.825954,0.082314,0.046891,0.041938,91.6,91.1887,0.1187,0.546098753,0.0257596482,5.66817954e-07,4.91737717e-09,0.084204894,0.000219669194,0.0025891623,0.000203879388,0.0634084018,1.08446028e-07,0.218700534,0.0239749392,0.0348394395,4.18,1.77669,173.5,1411.99297,0.0,1.434e-10,0.0,1.398e-10,0.0
1.16637e-05,0.26,0.0,0.00362511705,40.0,125.548349,0.0,0.0,0.825969,0.082316,0.046877,0.041939,69.2,91.1887,0.1187,0.539214677,0.0254349242,5.59672694e-07,4.85538912e-09,0.0831434141,0.000216900062,0.00255652353,0.000201309301,0.0626090808,1.07078966e-07,0.215943613,0.0236727131,0.0470061735,4.18,1.77669,173.5,1380.22884,0.0,1.959e-10,0.0,1.91e-10,0.0
1.16637e-05,0.26,0.0,0.00423758716,40.0,125.548349,0.0,0.0,0.825969,0.082316,0.046877,0.041939,52.2,91.1887,0.1187,0.530083806,0.0250042182,5.50195394e-07,4.77316967e-09,0.0817354929,0.000213227153,0.00251323227,0.000197900401,0.0615488807,1.05265729e-07,0.2122869,0.0232718478,0.0631438344,4.18,1.77669,173.5,1343.09811,0.0,2.677e-10,0.0,2.61e-10,0.0
1.16637e-05,0.26,0.0,0.00495353521,39.9999999,125.548349,0.0,0.0,0.825997,0.082319,0.04685,0.041941,39.2,91.1887,0.1187,0.518095615,0.0244387315,5.37752367e-07,4.66522133e-09,0.0798869915,0.000208404882,0.00245639388,0.000193424754,0.0601569127,1.02885076e-07,0.207485893,0.0227455398,0.084331447,4.18,1.77669,173.5,1299.69406,0.0,3.658e-10,0.0,3.567e-10,0.0
1.16637e-05,0.26,0.0,0.00579044398,40.0,125.548349,0.0,0.0,0.825995,0.082319,0.046851,0.041941,29.4,91.1887,0.1187,0.502564796,0.0237061379,5.21632302e-07,4.52537318e-09,0.0774922396,0.000202157582,0.00238275919,0.00018762651,0.0583536043,9.98009162e-08,0.201266142,0.0220637025,0.111780209,4.18,1.77669,173.5,1248.95683,0.0,4.998e-10,0.0,4.874e-10,0.0
