GFFermiconstant,LamIn,LamSIN,LamhS,MS,Mh,O_chnl:~Ss ~Ss -> Wp Wm,O_chnl:~Ss ~Ss -> Z Z,O_chnl:~Ss ~Ss -> d3 D3,O_chnl:~Ss ~Ss -> e3 E3,O_chnl:~Ss ~Ss -> g g,O_chnl:~Ss ~Ss -> u2 U2,Omega_h2,Zbosonpolemass,alphasMZSMMSbar,h0 ->  BBAR B,h0 ->  CBAR C,h0 ->  DBAR D,h0 ->  E+ E-,h0 ->  GLUE GLUE,h0 ->  MU+ MU-,h0 ->  PHOT PHOT,h0 ->  SBAR S,h0 ->  TAU+ TAU-,h0 ->  UBAR U,h0 ->  W- W+,h0 ->  Z0 Z0,h0 ->  ss ss,mbmbSMMSbar,mtaupole,mtoppole,muS2,neutron_SD,neutron_SI,proton_SD,proton_SI,O_chnl:~Ss ~Ss -> h h
1.16637e-05,0.26,0.0,0.0001,40.0,125.548349,0.186759,0.022538,0.638511,0.063454,0.053987,0.032319,10700.0,91.1887,0.1187,0.565790065,0.0266884936,5.87256363e-07,5.09468871e-09,0.087241167,0.000227590059,0.00268252271,0.000211230902,0.0656947917,1.12356391e-07,0.226586471,0.0248394312,3.75322365e-05,4.18,1.77669,173.5,1593.93754,0.0,1.491e-13,0.0,1.454e-13,0.0
1.16637e-05,0.26,0.0,0.00010660505,39.9999999,125.548349,0.175177,0.021174,0.649542,0.064557,0.054215,0.032882,10100.0,91.1887,0.1187,0.565787167,0.0266883569,5.87253355e-07,5.09466261e-09,0.0872407202,0.000227588894,0.00268250897,0.00021122982,0.0656944552,1.12355816e-07,0.22658531,0.024839304,4.26538047e-05,4.18,1.77669,173.5,1593.53711,0.0,1.694e-13,0.0,1.652e-13,0.0
1.16637e-05,0.26,0.0,0.000113646367,40.0,125.548349,0.164888,0.020048,0.658769,0.065474,0.054985,0.033349,9460.0,91.1887,0.1187,0.565783874,0.0266882015,5.87249937e-07,5.09463296e-09,0.0872402124,0.000227587569,0.00268249336,0.000211228591,0.0656940729,1.12355162e-07,0.226583991,0.0248391594,4.84742173e-05,4.18,1.77669,173.5,1593.11024,0.0,1.925e-13,0.0,1.877e-13,0.0
1.16637e-05,0.26,0.0,0.000121152766,40.0000001,125.548349,0.155682,0.018967,0.667083,0.0663,0.055679,0.03377,8870.0,91.1887,0.1187,0.565780131,0.026688025,5.87246052e-07,5.09459926e-09,0.0872396353,0.000227586064,0.00268247561,0.000211227194,0.0656936383,1.12354419e-07,0.226582493,0.0248389951,5.5088822e-05,4.18,1.77669,173.5,1592.65517,0.0,2.188e-13,0.0,2.134e-13,0.0
1.16637e-05,0.26,0.0,0.000129154967,40.0000001,125.548349,0.146145,0.017837,0.676296,0.067223,0.055727,0.03424,8320.0,91.1887,0.1187,0.565775878,0.0266878244,5.87241638e-07,5.09456096e-09,0.0872389795,0.000227584353,0.00268245545,0.000211225606,0.0656931444,1.12353574e-07,0.226580789,0.0248388084,6.26059743e-05,4.18,1.77669,173.5,1592.17004,0.0,2.486e-13,0.0,2.425e-13,0.0
1.16637e-05,0.26,0.0,0.000137685716,40.0,125.548349,0.137023,0.016825,0.685081,0.068103,0.055736,0.034689,7790.0,91.1887,0.1187,0.565771044,0.0266875963,5.87236621e-07,5.09451743e-09,0.0872382341,0.000227582408,0.00268243253,0.000211223801,0.0656925832,1.12352614e-07,0.226578853,0.0248385962,7.11488063e-05,4.18,1.77669,173.5,1591.65286,0.0,2.826e-13,0.0,2.756e-13,0.0
1.16637e-05,0.26,0.0,0.000146779927,40.0,125.548349,0.129945,0.016054,0.691437,0.068735,0.056253,0.035011,7280.0,91.1887,0.1187,0.565765551,0.0266873372,5.87230919e-07,5.09446797e-09,0.0872373871,0.000227580199,0.00268240649,0.00021122175,0.0656919454,1.12351523e-07,0.226576654,0.024838355,8.0857249e-05,4.18,1.77669,173.5,1591.10153,0.0,3.211e-13,0.0,3.132e-13,0.0
1.16637e-05,0.26,0.0,0.000156474814,40.0,125.548349,0.120376,0.014845,0.701327,0.069732,0.055641,0.035519,6810.0,91.1887,0.1187,0.565759309,0.0266870428,5.87224439e-07,5.09441176e-09,0.0872364246,0.000227577688,0.00268237689,0.00021121942,0.0656912205,1.12350284e-07,0.226574154,0.024838081,9.18903113e-05,4.18,1.77669,173.5,1590.51378,0.0,3.65e-13,0.0,3.559e-13,0.0
1.16637e-05,0.26,0.0,0.000166810054,40.0,125.548349,0.096822,0.011434,0.729003,0.072554,0.050783,0.03696,6400.0,91.1887,0.1187,0.565752214,0.0266867081,5.87217076e-07,5.09434788e-09,0.0872353307,0.000227574834,0.00268234325,0.000211216771,0.0656903968,1.12348875e-07,0.226571312,0.0248377695,0.000104428691,4.18,1.77669,173.5,1589.88721,0.0,4.148e-13,0.0,4.045e-13,0.0
1.16637e-05,0.26,0.0,0.000177827941,40.0,125.548349,0.090355,0.010744,0.734854,0.073136,0.05119,0.037257,5960.0,91.1887,0.1187,0.565744152,0.0266863278,5.87208708e-07,5.09427528e-09,0.0872340875,0.000227571591,0.00268230503,0.000211213761,0.0656894607,1.12347274e-07,0.226568084,0.0248374156,0.000118677721,4.18,1.77669,173.5,1589.21926,0.0,4.714e-13,0.0,4.597e-13,0.0
1.16637e-05,0.26,0.0,0.000189573565,39.9999999,125.548349,0.084583,0.010128,0.740076,0.073656,0.051554,0.037522,5570.0,91.1887,0.1187,0.56573499,0.0266858956,5.87199198e-07,5.09419278e-09,0.0872326748,0.000227567905,0.00268226159,0.000211210341,0.0656883968,1.12345454e-07,0.226564414,0.0248370133,0.000134870734,4.18,1.77669,173.5,1588.50718,0.0,5.357e-13,0.0,5.224e-13,0.0
1.16637e-05,0.26,0.0,0.000202094994,40.0,125.548349,0.077826,0.0,0.746685,0.074319,0.051483,0.03786,5180.0,91.1887,0.1187,0.565724578,0.0266854045,5.87188391e-07,5.09409902e-09,0.0872310693,0.000227563717,0.00268221222,0.000211206453,0.0656871879,1.12343387e-07,0.226560245,0.0248365562,0.000153272868,4.18,1.77669,173.5,1587.74808,0.0,6.088e-13,0.0,5.937e-13,0.0
1.16637e-05,0.26,0.0,0.000215443469,40.0,125.548349,0.071578,0.0,0.752817,0.074935,0.051394,0.038173,4820.0,91.1887,0.1187,0.565712745,0.0266848464,5.87176109e-07,5.09399247e-09,0.0872292448,0.000227558957,0.00268215612,0.000211202036,0.065685814,1.12341037e-07,0.226555506,0.0248360367,0.000174185403,4.18,1.77669,173.5,1586.93883,0.0,6.919e-13,0.0,6.747e-13,0.0
1.16637e-05,0.26,0.0,0.000229673618,40.0000001,125.548349,0.067427,0.0,0.756604,0.075311,0.051653,0.038366,4480.0,91.1887,0.1187,0.565699298,0.0266842121,5.87162153e-07,5.09387139e-09,0.0872271714,0.000227553548,0.00268209237,0.000211197016,0.0656842527,1.12338367e-07,0.226550121,0.0248354464,0.000197950676,4.18,1.77669,173.5,1586.07614,0.0,7.863e-13,0.0,7.668e-13,0.0
1.16637e-05,0.26,0.0,0.000244843675,40.0,125.548349,0.063664,0.0,0.759983,0.075648,0.051883,0.038537,4160.0,91.1887,0.1187,0.565684018,0.0266834913,5.87146292e-07,5.0937338e-09,0.0872248152,0.000227547402,0.00268201992,0.000211191311,0.0656824784,1.12335332e-07,0.226544001,0.0248347755,0.000224957675,4.18,1.77669,173.5,1585.15646,0.0,8.936e-13,0.0,8.714e-13,0.0
1.16637e-05,0.26,0.0,0.000261015722,39.9999999,125.548349,0.060366,0.0,0.76297,0.075945,0.052087,0.038688,3860.0,91.1887,0.1187,0.565666652,0.0266826721,5.87128268e-07,5.09357743e-09,0.0872221376,0.000227540416,0.00268193759,0.000211184828,0.0656804621,1.12331884e-07,0.226537047,0.0248340132,0.000255648376,4.18,1.77669,173.5,1584.17603,0.0,1.016e-12,0.0,9.903e-13,0.0
1.16637e-05,0.26,0.0,0.00027825594,40.0,125.548349,0.055727,0.0,0.767632,0.076414,0.051909,0.038927,3570.0,91.1887,0.1187,0.565646919,0.0266817413,5.87107786e-07,5.09339974e-09,0.0872190948,0.000227532479,0.00268184403,0.00021117746,0.0656781708,1.12327965e-07,0.226529144,0.0248331468,0.000290524954,4.18,1.77669,173.5,1583.13085,0.0,1.154e-12,0.0,1.125e-12,0.0
1.16637e-05,0.26,0.0,0.000296634884,40.0,125.548349,0.051439,0.0,0.771958,0.07685,0.051726,0.03915,3310.0,91.1887,0.1187,0.565624494,0.0266806835,5.8708451e-07,5.09319781e-09,0.087215637,0.000227523458,0.00268173771,0.000211169088,0.065675567,1.12323512e-07,0.226520163,0.0248321623,0.000330157965,4.18,1.77669,173.5,1582.01664,0.0,1.312e-12,0.0,1.279e-12,0.0
1.16637e-05,0.26,0.0,0.000316227766,40.0,125.548349,0.049086,0.0,0.77409,0.077062,0.051869,0.039258,3060.0,91.1887,0.1187,0.565599011,0.0266794815,5.8705806e-07,5.09296835e-09,0.0872117077,0.000227513208,0.00268161689,0.000211159575,0.0656726082,1.12318451e-07,0.226509958,0.0248310436,0.000375195627,4.18,1.77669,173.5,1580.82883,0.0,1.491e-12,0.0,1.454e-12,0.0
1.16637e-05,0.26,0.0,0.000337114768,40.0,125.548349,0.047005,0.0,0.775977,0.07725,0.051995,0.039353,2820.0,91.1887,0.1187,0.565570054,0.0266781156,5.87028004e-07,5.0927076e-09,0.0872072427,0.000227501559,0.00268147959,0.000211148764,0.0656692459,1.12312701e-07,0.226498361,0.0248297723,0.000426374368,4.18,1.77669,173.5,1579.56256,0.0,1.694e-12,0.0,1.652e-12,0.0
